SurfaceDateTime(local),Spot,Underlying,IsFx,Default Fit,Object for Under,Model,Start Date,End Date,Var from Surface (0 Basis),Var from surface + (T-1) Basis,,Var from Surface (0 Basis),Marked Var,Marked Var,Marked Basis,,,Leader/Follower,,Old Marked Var Fn,New Market Var Fn,
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
