SurfaceDateTime(local),Spot,Underlying,IsFx,Default Fit,Object for Under,Model,Start Date,End Date,Var from Surface (0 Basis),Var from surface + (T-1) Basis,,Var from Surface (0 Basis),Marked Var,Marked Var,Marked Basis,,,Leader/Follower,,Old Marked Var Fn,New Market Var Fn,
 4/1/2016 11:14:26 AM   _3320,2953.28,SX5E,Eq,SVI, SX5E   _3042,SVI,,9/16/2016,26.0%,#VALUE!,,25.3%,,26.95%,1.7%,,,Leader,,,26.95%,0.00%
 4/1/2016 11:14:26 AM   _3321,2953.28,SX5E,Eq,SVI, SX5E   _3043,SVI,,10/21/2016,26.1%,#VALUE!,,25.5%,,26.88%,1.3%,,,Leader,,,26.88%,0.00%
 4/1/2016 11:14:26 AM   _3322,2953.28,SX5E,Eq,SVI, SX5E   _3044,SVI,,11/18/2016,26.0%,#VALUE!,,25.7%,,27.00%,1.3%,,,Leader,,,27.00%,0.00%
 4/1/2016 11:14:26 AM   _3323,2953.28,SX5E,Eq,SVI, SX5E   _3045,SVI,,12/16/2016,25.9%,#VALUE!,,25.8%,,27.33%,1.5%,,,Leader,,,27.33%,0.00%
 4/1/2016 11:14:26 AM   _3324,2953.28,SX5E,Eq,SVI, SX5E   _3046,SVI,,1/20/2017,26.1%,#VALUE!,,25.7%,,27.18%,1.5%,,,Leader,,,27.18%,0.00%
 4/1/2016 11:14:26 AM   _3325,2953.28,SX5E,Eq,SVI, SX5E   _3047,SVI,,2/17/2017,26.4%,#VALUE!,,25.5%,,,#VALUE!,,,Leader,,,#VALUE!,#VALUE!
 4/1/2016 11:14:26 AM   _3326,2953.28,SX5E,Eq,SVI, SX5E   _3048,SVI,,3/17/2017,26.6%,#VALUE!,,25.4%,,27.32%,1.9%,,,Leader,,,27.32%,0.00%
 4/1/2016 11:14:26 AM   _3327,2953.28,SX5E,Eq,SVI, SX5E   _3049,SVI,,6/16/2017,26.6%,#VALUE!,,26.4%,,27.62%,1.2%,,,Leader,,,27.62%,0.00%
 4/1/2016 11:14:26 AM   _3328,2953.28,SX5E,Eq,SVI, SX5E   _3050,SVI,,9/15/2017,26.6%,#VALUE!,,26.4%,,27.50%,1.1%,,,Leader,,,27.50%,0.00%
 4/1/2016 11:14:26 AM   _3329,2953.28,SX5E,Eq,SVI, SX5E   _3051,SVI,,12/15/2017,26.5%,#VALUE!,,26.3%,,27.62%,1.3%,,,Leader,,,27.62%,0.00%
 4/1/2016 11:14:26 AM   _3330,2953.28,SX5E,Eq,SVI, SX5E   _3052,SVI,,6/15/2018,26.5%,#VALUE!,,25.3%,,27.88%,2.6%,,,Leader,,,27.88%,0.00%
 4/1/2016 11:14:26 AM   _3331,2953.28,SX5E,Eq,SVI, SX5E   _3053,SVI,,12/21/2018,26.3%,#VALUE!,,25.5%,,28.10%,2.6%,,,Leader,,,28.10%,0.00%
 4/1/2016 11:14:26 AM   _3332,2953.28,SX5E,Eq,SVI, SX5E   _3054,SVI,,6/21/2019,26.5%,#VALUE!,,25.6%,,28.52%,2.9%,,,Leader,,,28.52%,0.00%
 4/1/2016 11:14:26 AM   _3333,2953.28,SX5E,Eq,SVI, SX5E   _3055,SVI,,12/20/2019,26.8%,#VALUE!,,25.8%,,28.83%,3.1%,,,Leader,,,28.83%,0.00%
 4/1/2016 11:14:26 AM   _3334,2953.28,SX5E,Eq,SVI, SX5E   _3056,SVI,,12/18/2020,27.2%,#VALUE!,,26.1%,,29.77%,3.7%,,,Leader,,,29.77%,0.00%
